Titles,Runtime,User Rating,Metascore,Genre,Gross,Votes
Law Abiding Citizen,109 min,7.4,34,Action,$73.29M,"156,629"
Yesterday,116 min,6.8,55,Comedy,$73.28M,"78,458"
Spirit: Stallion of the Cimarron,83 min,7.2,52,Animation,$73.26M,"4,677"
A Madea Family Funeral,109 min,4.6,39,Comedy,$73.21M,"133,311"
Hollow Man,112 min,5.8,24,Action,$73.21M,"8,851"
Boo! A Madea Halloween,103 min,4.6,30,Comedy,$73.12M,"184,152"
Zombieland: Double Tap,99 min,6.7,55,Action,$73.10M,"225,569"
White House Down,131 min,6.3,52,Action,$73.08M,"276,289"
John Carter,132 min,6.6,51,Action,$73.03M,"23,981"
Hotel for Dogs,100 min,5.4,51,Comedy,$73.03M,"108,128"
Game Night,100 min,6.9,66,Action,$73.01M,"76,324"
Justin Bieber: Never Say Never,105 min,1.6,52,Documentary,$72.78M,"32,161"
Barnyard,90 min,5.6,42,Animation,$72.78M,"77,133"
Jackass Number Two,92 min,7,66,Documentary,$72.71M,"108,572"
The Interpreter,128 min,6.4,62,Crime,$72.69M,"158,528"
Hercules,98 min,6,47,Action,$72.68M,"63,826"
Storks,87 min,6.8,56,Animation,$72.31M,"314,977"
Bridge of Spies,142 min,7.6,81,Drama,$72.29M,"24,787"
Dolphin Tale,113 min,6.8,64,Drama,$72.27M,"151,558"
Vantage Point,90 min,6.6,40,Action,$72.11M,"54,174"
A Bad Moms Christmas,104 min,5.6,42,Comedy,$72.09M,"40,933"
This Is It,111 min,7.2,67,Documentary,$72.08M,"334,332"
10 Cloverfield Lane,103 min,7.2,76,Drama,$72.01M,"45,450"
Fred Claus,116 min,5.6,42,Comedy,$71.99M,"278,631"
1408,104 min,6.8,64,Fantasy,$71.96M,"154,984"
The Purge: Anarchy,103 min,6.4,50,Action,$71.76M,"137,029"
John Q,116 min,7.1,30,Crime,$71.73M,"61,172"
RV,99 min,5.6,33,Adventure,$71.63M,"184,081"
Mama,100 min,6.2,57,Fantasy,$71.54M,"248,635"
Bridget Jones's Diary,97 min,6.8,66,Comedy,$71.51M,"194,350"
Chocolat,121 min,7.3,64,Drama,$71.50M,"194,325"
Sideways,127 min,7.5,94,Comedy,$71.44M,"209,460"
"I Love You, Man",105 min,7,70,Comedy,$71.35M,"112,328"
Safe Haven,115 min,6.6,34,Drama,$71.31M,"165,036"
Scary Movie 2,83 min,5.3,29,Comedy,$71.20M,"97,944"
The Spiderwick Chronicles,96 min,6.5,62,Action,$71.07M,"129,860"
The Score,124 min,6.8,71,Action,$71.04M,"38,603"
Paul Blart: Mall Cop 2,94 min,4.4,13,Action,$71.02M,"43,240"
The Smurfs 2,105 min,5.3,34,Animation,$70.84M,"136,484"
Shallow Hal,114 min,6,48,Comedy,$70.83M,"150,022"
White Chicks,109 min,5.7,41,Comedy,$70.66M,"233,916"
No Strings Attached,108 min,6.2,50,Comedy,$70.53M,"16,302"
The Best Man Holiday,123 min,6.6,59,Comedy,$70.51M,"1,129,406"
V for Vendetta,132 min,8.2,62,Action,$70.41M,"232,628"
The Invisible Man,124 min,7.1,72,Drama,$70.33M,"78,180"
Shaft,99 min,6,50,Action,$70.28M,"84,940"
World Trade Center,129 min,6,66,Drama,$70.27M,"219,761"
Rocky Balboa,102 min,7.1,63,Action,$70.26M,"438,697"
The Big Short,130 min,7.8,81,Biography,$70.23M,"81,307"
Fool's Gold,112 min,5.7,29,Action,$70.17M,"44,502"
Big Momma's House 2,99 min,4.8,34,Comedy,$70.11M,"191,136"
The Golden Compass,113 min,6.1,51,Adventure,$70.10M,"1,125,219"
Kill Bill: Vol. 1,111 min,8.2,69,Action,$70.01M,"69,974"
Act of Valor,110 min,6.4,40,Action,$69.95M,"306,166"
Seven Pounds,123 min,7.6,36,Drama,$69.77M,"189,952"
Swordfish,99 min,6.5,32,Action,$69.69M,"42,897"
The Kid,104 min,6.1,45,Comedy,$69.60M,"20,220"
Divine Secrets of the Ya-Ya Sisterhood,116 min,6,48,Drama,$69.49M,"65,519"
The First Purge,97 min,5.2,54,Action,$69.24M,"62,796"
Vertical Limit,124 min,5.9,48,Action,$69.18M,"239,525"
Lara Croft Tomb Raider: The Cradle of Life,117 min,5.5,43,Action,$69.06M,"75,822"
Good Boys,90 min,6.7, ,Adventure,$69.03M,"100,718"
Angel Has Fallen,121 min,6.4,45,Action,$68.92M,"43,800"
Guess Who,105 min,5.9,49,Comedy,$68.67M,"99,620"
Sahara,124 min,6,41,Action,$68.57M,"28,917"
Book Club,104 min,6.1,53,Comedy,$68.56M,"120,215"
Percy Jackson: Sea of Monsters,106 min,5.7,39,Adventure,$68.55M,"52,819"
The House with a Clock in Its Walls,105 min,6,57,Comedy,$68.54M,"171,899"
Road Trip,93 min,6.5,55,Comedy,$68.42M,"125,003"
Skyscraper,102 min,5.8,51,Action,$68.38M,"98,757"
Bring It On,98 min,6.1,52,Comedy,$68.32M,367
National Theatre Live: The Curious Incident of the Dog in the Night-Time,160 min,8.6, ,Drama,$68.26M,"32,781"
Obsessed,108 min,5,25,Drama,$68.22M,"99,883"
Mr. Popper's Penguins,94 min,6,53,Comedy,$67.79M,"15,277"
War Room,120 min,6.4,26,Drama,$67.75M,"62,421"
Insidious: The Last Key,103 min,5.7,49,Horror,$67.63M,"246,590"
The Tourist,103 min,6,37,Action,$67.54M,"144,232"
This Is 40,134 min,6.2,59,Comedy,$67.41M,"92,005"
Holes,117 min,7,71,Adventure,$67.36M,"109,955"
Instant Family,118 min,7.3,57,Comedy,$67.36M,"299,463"
Insomnia,118 min,7.2,78,Drama,$67.35M,"209,620"
A Good Day to Die Hard,98 min,5.2,28,Action,$67.29M,"233,887"
Role Models,99 min,6.8,61,Comedy,$67.29M,"83,306"
Hidalgo,136 min,6.7,54,Action,$67.27M,"132,813"
Lights Out,81 min,6.3,58,Horror,$67.26M,"154,667"
Coach Carter,136 min,7.3,57,Biography,$67.21M,"535,703"
Hacksaw Ridge,139 min,8.1,71,Biography,$67.17M,"60,853"
Race to Witch Mountain,98 min,5.7,52,Action,$67.06M,"129,767"
The Bounty Hunter,110 min,5.5,22,Action,$66.96M,"38,206"
102 Dalmatians,100 min,4.8,35,Adventure,$66.95M,"44,989"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",81 min,6.2,54,Comedy,$66.93M,"32,362"
Kangaroo Jack,89 min,4.5,16,Action,$66.82M,"72,667"
Changing Lanes,98 min,6.5,69,Drama,$66.81M,"109,868"
The Mexican,123 min,6.1,43,Adventure,$66.76M,"51,132"
Spies in Disguise,102 min,6.8,54,Animation,$66.66M,"120,025"
Charlie Wilson's War,102 min,7,67,Biography,$66.64M,"66,877"
The Forgotten,91 min,5.8,43,Drama,$66.53M,"124,021"
Contraband,109 min,6.4,51,Action,$66.49M,"582,059"
Looper,119 min,7.4,84,Action,$66.48M,"108,655"
The Final Destination,82 min,5.1,30,Horror,$66.47M,"178,386"
The League of Extraordinary Gentlemen,110 min,5.8,30,Action,$66.40M,"87,140"
Finding Forrester,136 min,7.3,62,Drama,$66.38M,"234,438"
Warm Bodies,98 min,6.8,60,Comedy,$66.26M,"444,834"
Big Fish,125 min,8,58,Adventure,$66.21M,"764,243"
Kill Bill: Vol. 2,137 min,8,83,Action,$66.18M,"125,318"
Allegiant,120 min,5.7,33,Action,$66.02M,"48,829"
Herbie Fully Loaded,101 min,4.9,47,Adventure,$66.01M,"57,791"
Magic Mike XXL,115 min,5.6,60,Comedy,$65.96M,"112,412"
The Manchurian Candidate,129 min,6.6,76,Drama,$65.85M,"190,970"
X-Men: Dark Phoenix,113 min,5.7,43,Action,$65.66M,"140,383"
London Has Fallen,99 min,5.9,28,Action,$65.65M,"11,052"
Madea's Witness Protection,114 min,4.9,42,Comedy,$65.45M,"200,175"
The Taking of Pelham 123,106 min,6.4,55,Action,$65.42M,"250,484"
Battleship,131 min,5.8,41,Action,$65.33M,"121,118"
Step Up,104 min,6.5,48,Crime,$65.28M,"12,065"
Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,74 min,2.5,59,Documentary,$65.23M,"113,699"
The Amityville Horror,90 min,5.9,33,Horror,$65.21M,"138,326"
The Visit,94 min,6.2,55,Horror,$65.19M,"141,334"
Jack the Giant Slayer,114 min,6.2,51,Action,$65.18M,"21,781"
Think Like a Man Too,106 min,5.7,38,Comedy,$65.11M,"15,345"
Barbershop 2: Back in Business,106 min,5.7,59,Comedy,$65.08M,"296,649"
Now You See Me 2,129 min,6.4,46,Action,$65.02M,"129,889"
About Schmidt,125 min,7.2,85,Drama,$65.01M,"170,930"
Exodus: Gods and Kings,150 min,6,52,Action,$65.00M,"110,391"
Friday the 13th,97 min,5.5,34,Horror,$65.00M,"310,925"
Pitch Perfect,112 min,7.1,66,Comedy,$64.96M,"55,615"
Stuart Little 2,77 min,5.5,66,Animation,$64.94M,"88,783"
Mirror Mirror,106 min,5.6,46,Adventure,$64.67M,"129,553"
Flushed Away,85 min,6.6,74,Animation,$64.58M,"254,577"
Chronicle,84 min,7,69,Action,$64.51M,"74,286"
A Dog's Purpose,100 min,7.2,43,Adventure,$64.51M,"209,848"
The Happening,91 min,5,34,Adventure,$64.47M,"227,656"
The Purge,85 min,5.7,41,Horror,$64.46M,"77,175"
The Wedding Ringer,101 min,6.6,35,Comedy,$64.38M,"55,810"
Miracle,135 min,7.4,68,Biography,$64.26M,"97,258"
Jackass: The Movie,85 min,6.6,42,Documentary,$64.25M,"29,103"
The Nut Job,85 min,5.7,37,Animation,$64.19M,"24,199"
Down to Earth,87 min,5.4,32,Comedy,$64.17M,"205,310"
17 Again,102 min,6.4,48,Comedy,$64.06M,"68,875"
Ice Age: Collision Course,94 min,5.6,34,Animation,$64.04M,"314,978"
Deja Vu,126 min,7.1,59,Action,$64.01M,"45,753"
Happy Feet Two,100 min,5.8,50,Animation,$64.00M,"52,755"
Diary of a Wimpy Kid,94 min,6.2,56,Comedy,$63.95M,"89,207"
Sky High,100 min,6.3,62,Action,$63.91M,"133,788"
Last Vegas,105 min,6.6,48,Comedy,$63.86M,"84,893"
Mona Lisa Smile,117 min,6.5,45,Drama,$63.86M,"425,867"
The Shape of Water,123 min,7.3,87,Drama,$63.69M,"263,773"
Unknown,113 min,6.8,56,Action,$63.54M,"43,118"
Hope Springs,100 min,6.3,65,Comedy,$63.45M,"118,989"
Miami Vice,132 min,6,66,Action,$63.41M,"153,043"
The Time Traveler's Wife,107 min,7.1,47,Comedy,$63.32M,"11,632"
Madea's Family Reunion,107 min,5.2,45,Comedy,$63.30M,"153,380"
Saw IV,93 min,5.9,36,Crime,$63.29M,"47,073"
The Boss,99 min,5.4,40,Comedy,$63.22M,"298,064"
The Holiday,136 min,6.9,52,Comedy,$63.17M,"289,118"
Forgetting Sarah Marshall,111 min,7.1,67,Comedy,$63.15M,"164,422"
The Sorcerer's Apprentice,109 min,6.1,46,Action,$63.08M,"102,725"
A Nightmare on Elm Street,95 min,5.2,35,Crime,$62.95M,"89,160"
The Last Song,107 min,6,33,Drama,$62.74M,"78,781"
Scary Stories to Tell in the Dark,108 min,6.2,61,Adventure,$62.68M,"161,619"
Son of God,138 min,5.7,37,Biography,$62.66M,"193,388"
Jarhead,125 min,7,58,Biography,$62.58M,"183,978"
Black Mass,123 min,6.9,68,Biography,$62.51M,"276,780"
The Fast and the Furious: Tokyo Drift,104 min,6,45,Action,$62.50M,"260,715"
The Adjustment Bureau,106 min,7,60,Romance,$62.34M,"51,209"
The Call of the Wild,100 min,6.7,48,Adventure,$62.32M,"156,516"
Underworld: Awakening,88 min,6.3,39,Action,$62.32M,"202,797"
Underworld: Evolution,106 min,6.7,36,Action,$62.25M,"181,359"
Terminator: Dark Fate,128 min,6.2,54,Action,$62.25M,"73,354"
Bewitched,102 min,4.8,34,Comedy,$61.98M,"108,186"
The Wolfman,103 min,5.8,43,Drama,$61.74M,"243,923"
Ender's Game,114 min,6.6,51,Action,$61.71M,"26,414"
Miracles from Heaven,109 min,7.1,44,Biography,$61.70M,"82,448"
A Beautiful Day in the Neighborhood,109 min,7.2,80,Biography,$61.65M,"190,285"
Cinderella Man,144 min,8,69,Biography,$61.56M,"153,340"
Onward,102 min,7.4,61,Animation,$61.43M,"172,122"
Deepwater Horizon,107 min,7.1,68,Action,$61.36M,"25,949"
Stomp the Yard,115 min,5.4,44,Drama,$61.34M,"48,665"
Rules of Engagement,128 min,6.4,45,Drama,$61.33M,"104,452"
The Cell,107 min,6.4,40,Crime,$61.26M,"64,308"
Friday Night Lights,118 min,7.2,70,Action,$61.12M,"19,516"
The Shaggy Dog,98 min,4.4,43,Comedy,$61.00M,"728,277"
Prisoners,153 min,8.1,70,Crime,$60.97M,"180,639"
Get Him to the Greek,109 min,6.3,65,Comedy,$60.88M,"74,356"
Mission to Mars,114 min,5.6,34,Adventure,$60.79M,"116,884"
Coyote Ugly,100 min,5.7,27,Comedy,$60.76M,"43,398"
God's Not Dead,113 min,4.6,16,Adventure,$60.72M,"39,829"
Abominable,97 min,7,61,Animation,$60.67M,"106,588"
Poseidon,98 min,5.7,50,Action,$60.52M,"203,375"
After Earth,100 min,4.8,33,Action,$60.49M,"45,944"
Baby Mama,99 min,6,55,Comedy,$60.48M,"31,825"
Dora and the Lost City of Gold,102 min,6.1,63,Action,$60.48M,"108,268"
Shanghai Knights,114 min,6.2,58,Action,$60.46M,"110,248"
The Lucky One,101 min,6.4,39,Drama,$60.40M,"82,624"
The Wedding Planner,103 min,5.3,33,Comedy,$60.36M,"337,479"
Burn After Reading,96 min,7,63,Comedy,$60.32M,"116,410"
Why Him?,111 min,6.2,39,Comedy,$60.31M,"81,073"
Blockers,102 min,6.2,69,Comedy,$60.13M,"173,815"
Resident Evil: Afterlife,96 min,5.8,37,Action,$60.10M,"9,933"
Why Did I Get Married Too?,121 min,4.7,43,Comedy,$60.06M,"70,390"
The Family Stone,103 min,6.3,56,Comedy,$60.06M,"148,112"
Bad Santa,92 min,7.1,70,Comedy,$60.05M,"150,346"
Brüno,81 min,5.9,54,Comedy,$60.02M,"47,514"
Tooth Fairy,101 min,5,36,Comedy,$60.02M,"13,123"
Snow Day,89 min,5.1,34,Adventure,$59.95M,"104,793"
The Good Shepherd,167 min,6.7,61,Drama,$59.89M,"488,253"
Little Miss Sunshine,101 min,7.8,80,Comedy,$59.87M,"119,671"
Pacific Rim: Uprising,111 min,5.6,44,Action,$59.84M,"52,160"
The Benchwarmers,85 min,5.5,25,Comedy,$59.71M,"29,158"
Secretariat,123 min,7.2,61,Biography,$59.70M,"19,183"
