Titles,Runtime,User Rating,Metascore,Genre,Gross,Votes
X-Men: Days of Future Past,132 min,7.9,75,Action,$233.63M,"600,014"
Cast Away,143 min,7.8,73,Adventure,$232.64M,"751,932"
Doctor Strange,115 min,7.5,72,Action,$229.02M,"457,627"
Justice League,120 min,6.1,45,Action,$228.78M,"486,511"
Star Trek Into Darkness,132 min,7.7,72,Action,$228.43M,"865,141"
The Martian,144 min,8,80,Adventure,$227.97M,"368,314"
Signs,106 min,6.8,59,Drama,$227.95M,"488,992"
Hancock,92 min,6.4,49,Action,$227.47M,"639,195"
The Bourne Ultimatum,115 min,8,85,Action,$226.28M,"772,759"
Logan,137 min,8.1,77,Action,$226.16M,"224,900"
Rush Hour 2,90 min,6.6,48,Action,$226.01M,"236,138"
The Fate of the Furious,136 min,6.6,56,Action,$223.81M,"1,125,552"
WALL·E,98 min,8.4,95,Animation,$222.53M,"468,301"
Big Hero 6,102 min,7.8,74,Animation,$220.16M,"338,290"
Mission: Impossible - Fallout,147 min,7.7,86,Action,$219.96M,"242,326"
National Treasure: Book of Secrets,124 min,6.5,48,Action,$219.61M,"50,640"
Alvin and the Chipmunks: The Squeakquel,88 min,4.5,41,Animation,$218.82M,"622,010"
Ted,106 min,6.9,62,Comedy,$218.08M,"428,791"
King Kong,187 min,7.2,81,Action,$217.58M,"748,499"
Dunkirk,106 min,7.8,94,Action,$217.54M,"438,706"
The Da Vinci Code,149 min,6.6,46,Mystery,$217.33M,"88,260"
Alvin and the Chipmunks,92 min,5.2,39,Animation,$216.65M,"410,209"
Ant-Man and the Wasp,118 min,7,70,Action,$216.43M,"546,310"
Bohemian Rhapsody,134 min,7.9,49,Biography,$216.39M,"185,641"
Madagascar 3: Europe's Most Wanted,93 min,6.8,60,Animation,$215.43M,"478,981"
Kung Fu Panda,92 min,7.6,74,Animation,$215.41M,"347,908"
Mission: Impossible II,123 min,6.1,59,Action,$215.29M,"390,775"
A Star Is Born,136 min,7.6,88,Drama,$214.95M,"555,690"
X2: X-Men United,134 min,7.4,68,Action,$214.03M,"116,785"
The Lorax,86 min,6.4,46,Animation,$213.77M,"353,432"
Solo: A Star Wars Story,135 min,6.9,62,Action,$213.52M,"493,611"
Venom,112 min,6.6,35,Action,$213.31M,"213,587"
Austin Powers in Goldmember,94 min,6.2,62,Action,$211.59M,"272,152"
It Chapter Two,169 min,6.5,58,Drama,$210.61M,"827,720"
300,117 min,7.6,52,Action,$209.84M,"385,914"
Fast Five,130 min,7.3,66,Action,$209.73M,"518,231"
Coco,105 min,8.4,81,Animation,$209.40M,"495,971"
Mission: Impossible - Ghost Protocol,132 min,7.4,73,Action,$209.22M,"361,226"
Wedding Crashers,119 min,7,64,Comedy,$209.03M,"641,094"
Sherlock Holmes,128 min,7.6,57,Action,$208.55M,"446,694"
Dawn of the Planet of the Apes,130 min,7.6,79,Action,$206.85M,"1,482,390"
Batman Begins,140 min,8.2,70,Action,$206.46M,"489,756"
Charlie and the Chocolate Factory,115 min,6.7,72,Adventure,$206.45M,"748,749"
Ratatouille,111 min,8.1,96,Animation,$206.36M,"690,168"
Thor: The Dark World,112 min,6.8,54,Action,$206.31M,"163,911"
Bad Boys for Life,124 min,6.5,59,Action,$202.85M,"504,861"
The Amazing Spider-Man 2,142 min,6.6,53,Action,$202.36M,"676,360"
World War Z,116 min,7,63,Action,$202.02M,"330,532"
The Mummy Returns,130 min,6.4,48,Action,$201.15M,"180,253"
Cinderella,105 min,6.9,67,Adventure,$201.09M,"165,487"
Ralph Breaks the Internet,112 min,7,71,Animation,$200.82M,"460,886"
Tangled,100 min,7.7,71,Animation,$200.68M,"418,461"
Godzilla,123 min,6.4,62,Action,$200.08M,"285,577"
Superman Returns,154 min,6.1,72,Action,$200.07M,"446,069"
Spectre,148 min,6.8,60,Action,$198.54M,"337,161"
Pearl Harbor,183 min,6.2,44,Action,$198.35M,"166,163"
Monsters vs. Aliens,94 min,6.4,56,Animation,$198.00M,"189,742"
Happy Feet,108 min,6.4,77,Animation,$196.57M,"249,812"
Ice Age: Dawn of the Dinosaurs,94 min,6.9,50,Animation,$195.33M,"282,526"
Ice Age: The Meltdown,91 min,6.8,59,Animation,$195.04M,"378,765"
Mission: Impossible - Rogue Nation,131 min,7.4,75,Action,$193.60M,"410,912"
Madagascar,86 min,6.9,57,Animation,$191.72M,"383,544"
22 Jump Street,112 min,7,71,Action,$191.47M,"467,228"
Twilight,122 min,5.3,56,Drama,$191.45M,"195,829"
Cars 2,106 min,6.2,57,Animation,$191.20M,"213,082"
Teenage Mutant Ninja Turtles,101 min,5.8,31,Action,$190.42M,"381,275"
Men in Black II,88 min,6.1,49,Action,$190.24M,"541,351"
Spider-Man: Into the Spider-Verse,117 min,8.4,87,Animation,$189.42M,"429,307"
Wreck-It Ralph,101 min,7.7,72,Animation,$188.37M,"669,642"
Hidden Figures,127 min,7.8,74,Biography,$188.02M,"538,868"
A Quiet Place,90 min,7.5,82,Drama,$188.02M,"1,858,984"
Interstellar,169 min,8.6,74,Adventure,$187.71M,"1,512,644"
